あ;a;/a/;[a];
い;i;/i/;[i];
う;u;/u/;[ɯ];
え;e;/e/;[e];
お;o;/ɔ/;[ɔ];
か;ka;/ka/;[ka];
き;ki;/ki/;[ki];
く;ku;/ku/;[kɯ];
け;ke;/ke/;[ke];
こ;ko;/kɔ/;[kɔ];
さ;sa;/sa/;[sa];
し;shi;/?/;[ɕi];
す;su;/su/;[sɯ];
せ;se;/se/;[se];
そ;so;/sɔ/;[sɔ];
た;ta;/ta/;[ta];
ち;chi;/?/;[t͡ɕi];
つ;tsu;/?/;[tsɯ];
て;te;/te/;[te];
と;to;/tɔ/;[tɔ];
な;na;/na/;[na];
に;ni;/ni/;[ni];
ぬ;nu;/nu/;[nɯ];
ね;ne;/ne/;[ne];
の;no;/nɔ/;[nɔ];
は;ha;/ha/;[ha];
ひ;hi;/hi/;[çi];
ふ;fu;/?/;[ɸɯ];
へ;he;/he/;[he];
ほ;ho;/hɔ/;[hɔ];
ま;ma;/ma/;[ma];
み;mi;/mi/;[mi];
む;mu;/mu/;[mɯ];
め;me;/me/;[me];
も;mo;/mɔ/;[mɔ];
や;ya;/ja/;[ja];
ゆ;yu;/ju/;[jɯ];
よ;yo;/jɔ/;[jɔ];
ら;ra;/ra/;[ɺa];
り;ri;/ri/;[ɺi];
る;ru;/ru/;[ɺɯ];
れ;re;/re/;[ɺe];
ろ;ro;/rɔ/;[ɺɔ];
わ;wa;/wa/;[ɰa];
ゐ;wi;/?/;[ɰi];
ゑ;we;/?/;[ɰe];
を;wo;/?/;[ɰɔ] ou [ɔ];
ん;n;;;
が;ga;/ga/;[ga];
ぎ;gi;/gi/;[gi];
ぐ;gu;/gu/;[gɯ];
げ;ge;/ge/;[ge];
ご;go;/gɔ/;[gɔ];
ざ;za;/za/;[za];
じ;ji;/?/;[ʑi];
ず;zu;/zu/;[zɯ];
ぜ;ze;/ze/;[ze];
ぞ;zo;/zɔ/;[zɔ];
だ;da;/da/;[da];
ぢ;ji (di);/?/;[ɟʑi];
づ;zu (du);/?/;[zɯ] ou [dzɯ];
で;de;/de/;[de];
ど;do;/dɔ/;[dɔ];
ば;ba;/ba/;[ba];
び;bi;/bi/;[bi];
ぶ;bu;/bu/;[bɯ];
べ;be;/be/;[be];
ぼ;bo;/bɔ/;[bɔ];
ぱ;pa;/pa/;[pa];
ぴ;pi;/pi/;[pi];
ぷ;pu;/pu/;[pɯ];
ぺ;pe;/pe/;[pe];
ぽ;po;/pɔ/;[pɔ];
きゃ;kya;/?/;[kʲa];
きゅ;kyu;/?/;[kʲɯ];
きょ;kyo;/?/;[kʲɔ];
ぎゃ;gya;/?/;[ɡʲa];
ぎゅ;gyu;/?/;[ɡʲɯ];
ぎょ;gyo;/?/;[ɡʲɔ];
しゃ;sha;/?/;[ɕa];
しゅ;shu;/?/;[ɕɯ];
しょ;sho;/?/;[ɕɔ];
じゃ;ja;/?/;[ɟʑa];
じゅ;ju;/?/;[ɟʑɯ];
じょ;jo;/?/;[ɟʑɔ];
ちゃ;cha;/?/;[tɕa];
ちゅ;chu;/?/;[tɕɯ];
ちょ;cho;/?/;[tɕɔ];
にゃ;nya;/?/;[ȵa];
にゅ;nyu;/?/;[ȵɯ];
にょ;nyo;/?/;[ȵɔ];
ひゃ;hya;/?/;[ça];
ひゅ;hyu;/?/;[çɯ];
ひょ;hyo;/?/;[çɔ];
びゃ;bya;/?/;[bʲa];
びゅ;byu;/?/;[bʲɯ];
びょ;byo;/?/;[bʲɔ];
ぴゃ;pya;/?/;[pʲa];
ぴゅ;pyu;/?/;[pʲɯ];
ぴょ;pyo;/?/;[pʲɔ];
みゃ;mya;/?/;[mʲa];
みゅ;myu;/?/;[mʲɯ];
みょ;myo;/?/;[mʲɔ];
りゃ;rya;/?/;[ɺʲa];
りゅ;ryu;/?/;[ɺʲɯ];
りょ;ryo;/?/;[ɺʲɔ];